State Name,State Code,Incumbent,Incumbent Photo,Election Note,Dem Candidate,Dem Photo,Rep Candidate,Rep Photo,Combined,Cook,Inside Elections,Sabato,Daily Kos,Politico,RCP,Niskanen,270towin, 
Alabama,AL,Richard Shelby,https://upload.wikimedia.org/wikipedia/commons/c/c5/Richard_Shelby%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Alabama,AL,Doug Jones,https://upload.wikimedia.org/wikipedia/commons/0/0d/Senator_Doug_Jones_official_photo_%28cropped%29_2.jpg,,Doug Jones,https://upload.wikimedia.org/wikipedia/commons/0/0d/Senator_Doug_Jones_official_photo_%28cropped%29_2.jpg,Tommy Tuberville,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Tommy-Tuberville-Coaches-Tour-5-29-08-%28cropped%29.jpg/200px-Tommy-Tuberville-Coaches-Tour-5-29-08-%28cropped%29.jpg,leans_r,leans_r,leans_r,likely_r,likely_r,leans_r,likely_r,leans_r,safe_r,
Alaska,AK,Lisa Murkowski,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Lisa_Murkowski_official_photo_%28cropped%29.jpg/232px-Lisa_Murkowski_official_photo_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Alaska,AK,Dan Sullivan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/SenSullivan.jpg/236px-SenSullivan.jpg,,Al Gross*,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Gross_Headshot_%28cropped%29.jpg/225px-Gross_Headshot_%28cropped%29.jpg,Dan Sullivan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/SenSullivan.jpg/236px-SenSullivan.jpg,likely_r,likely_r,likely_r,likely_r,likely_r,likely_r,likely_r,safe_r,likely_r,
Arizona,AZ,Krysten Sinema,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg/190px-Kyrsten_Sinema_by_Gage_Skidmore_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Arizona,AZ,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg/190px-Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg,,Mark Kelly,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Mark_Kelly_%282016%29.jpg/196px-Mark_Kelly_%282016%29.jpg,Martha McSally,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg/190px-Sen._Martha_McSally_official_Senate_headshot_116th_congress_%28cropped%29.jpg,tossup,leans_d,tossup,leans_d,leans_d,leans_d,tossup,likely_d,likely_d,
Arkansas,AR,John Boozman,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/190px-John_Boozman%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Arkansas,AR,Tom Cotton,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg/190px-Tom_Cotton_official_Senate_photo_%28cropped%29.jpg,The Arkansas democratic party is not running any democratic candidate in the 2020 election so you should just assume that incumbent Tom Cotton will retain this seat,none,,Tom Cotton,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tom_Cotton_official_Senate_photo_%28cropped%29.jpg/190px-Tom_Cotton_official_Senate_photo_%28cropped%29.jpg,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,
California,CA,Kamala Harris,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kamala_Harris_official_photo_%28cropped%29.jpg/190px-Kamala_Harris_official_photo_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
California,CA,Dianne Feinstein,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg/190px-Dianne_Feinstein%2C_official_Senate_photo_2_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Colorado,CO,Michael Bennett,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Michael_Bennet_Official_Photo_%28cropped%29.jpg/190px-Michael_Bennet_Official_Photo_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Colorado,CO,Cory Gardner,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg/190px-Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg,,John Hickenlooper,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/John_Hickenlooper_June_2019.jpg/215px-John_Hickenlooper_June_2019.jpg,Cory Gardner,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg/190px-Cory_Gardner_official_Senate_portrait_%28cropped%29.jpeg,tossup,tossup,tossup,leans_d,leans_d,tossup,tossup,likely_d,leans_d,
Connecticut,CT,Richard Blumenthal,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg/190px-Richard_Blumenthal_Official_Portrait_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Connecticut,CT,Chris Murphy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/190px-Chris_Murphy%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Delaware,DE,Tom Carper,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Tom_Carper%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/190px-Tom_Carper%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Delaware,DE,Chris Coons,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/190px-Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,"The Delaware Primary for both parties will be held Sept 15, 2020. On the democratic side, incumbent Chris Coons has a challenger: Jessica Scarane. There are a few people declared on the republican side but given this is a very same democratic seat, the real race is the democratic primary.",multiple,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/190px-Chris_Coons%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,multiple,,safe_d,safe_d,safe_d,safe_d,safe_d,likely_d,safe_d,safe_d,safe_d,
Florida,FL,Mario Rubio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Senator_Rubio_official_portrait_%28cropped%29.jpg/190px-Senator_Rubio_official_portrait_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Florida,FL,Rick Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Official_Portrait_of_Senator_Rick_Scott_%28cropped%29.jpg/190px-Official_Portrait_of_Senator_Rick_Scott_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Georgia,GA,David Perdue,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg/190px-David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg,,John Ossoff,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Ossoff-Mar-15-17.png/190px-Ossoff-Mar-15-17.png,David Perdue,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg/190px-David_Perdue%2C_Official_Portrait%2C_114th_Congress_%28cropped%29.jpg,tossup,tossup,tossup,leans_r,leans_r,leans_r,tossup,leans_r,tossup,
Georgia,GA,Kelly Loeffler,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Kelly_Loeffler_%28cropped%29.jpg/190px-Kelly_Loeffler_%28cropped%29.jpg,"In addition to a normal senate seat up for election, there is a second special election for the other seat. The current occupant is appointed republican senator Kelly Loeffler. This special election will be held on Nov 3 but will be a jungle primary. That means that instead of party primaries, all candidates from both republican and democratic sides will be on the ballot. If anyone gets more than 50% of the votes, they're the next senator. If no one hits that limit, then there will be a runoff election on Jan 5th. Which is after we know the results of both the senate and presidential elections which makes that election potentially incredibly consequential.",multiple,,multiple,,tossup,leans_r,leans_r,likely_r,leans_r,leans_r,leans_r,tossup,leans_r,
Hawaii,HI,Brian Schatz,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg/190px-Brian_Schatz%2C_official_portrait%2C_113th_Congress_2_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Hawaii,HI,Mazie Hirono,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/190px-Mazie_Hirono%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Idaho,ID,Mike Crapo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg/190px-Mike_Crapo_Official_Photo_110th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Idaho,ID,Jim Risch,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg/190px-Jim_Risch_official_portrait_%28cropped%29.jpg,,Paulette Jordan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/PauletteJordanIF7a_%28cropped%29.jpg/200px-PauletteJordanIF7a_%28cropped%29.jpg,Jim Risch,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg/190px-Jim_Risch_official_portrait_%28cropped%29.jpg,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,
Illinois,IL,Tammy Duckworth,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg/190px-Tammy_Duckworth_115th_official_portrait_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Illinois,IL,Dick Durbin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg/190px-Jim_Risch_official_portrait_%28cropped%29.jpg,,Dick Durbin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg/190px-Jim_Risch_official_portrait_%28cropped%29.jpg,Mark Curran,https://upload.wikimedia.org/wikipedia/commons/d/d9/Mark-Curran_%28cropped%29.jpg,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,
Indiana,IN,Todd Young,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Senator_Todd_Young_official_portrait_%28cropped%29.jpg/190px-Senator_Todd_Young_official_portrait_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Indiana,IN,Mike Braun,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg/190px-Mike_Braun%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Iowa,IA,Chuck Grassley,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Chuck_Grassley_official_photo_2017_%28cropped%29.jpg/190px-Chuck_Grassley_official_photo_2017_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Iowa,IA,Joni Ernst,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg/190px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg,,Theresa Greenfield,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Theresa_Greenfield_%28cropped%29.png/217px-Theresa_Greenfield_%28cropped%29.png,Joni Ernst,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg/190px-Joni_Ernst%2C_official_portrait%2C_116th_Congress_3.jpg,tossup,tossup,tossup,tossup,leans_r,tossup,tossup,tossup,tossup,
Kansas,KS,Jerry Moran,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/190px-Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Kansas,KS,Pat Roberts,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Pat_Roberts_official_Senate_photo_%28cropped%29.jpg/190px-Pat_Roberts_official_Senate_photo_%28cropped%29.jpg,,Barbara Bollier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Barbara_Bollier_cropped_portrait.jpg/212px-Barbara_Bollier_cropped_portrait.jpg,Roger Marshall,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Roger_Marshall_official_portrait_%28cropped%29.jpg/203px-Roger_Marshall_official_portrait_%28cropped%29.jpg,leans_r,leans_r,leans_r,likely_r,likely_r,likely_r,likely_r,tossup,likely_r,
Kentucky,KY,Rand Paul,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg/190px-Rand_Paul%2C_official_portrait%2C_112th_Congress_alternate_%28cropped%29.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Kentucky,KY,Mitch McConnell,https://upload.wikimedia.org/wikipedia/commons/a/a8/Sen_Mitch_McConnell_official_%28cropped%29.jpg,,Amy McGrath,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Amy_McGrath_Event-_%2849220643717%29_1.jpg/194px-Amy_McGrath_Event-_%2849220643717%29_1.jpg,Mitch McConnell,https://upload.wikimedia.org/wikipedia/commons/a/a8/Sen_Mitch_McConnell_official_%28cropped%29.jpg,likely_r,likely_r,safe_r,likely_r,safe_r,likely_r,likely_r,likely_r,likely_r,
Louisiana,LA,John Kennedy,https://upload.wikimedia.org/wikipedia/commons/8/81/John_Neely_Kennedy%2C_official_portrait%2C_115th_Congress_2.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
Louisiana,LA,Bill Cassidy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg/190px-Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg,,Adrian Perkins,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Mayor_Adrian_Perkins.jpg/440px-Mayor_Adrian_Perkins.jpg,Bill Cassidy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg/190px-Bill_Cassidy_official_Senate_photo_%28cropped%29.jpg,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,safe_r,
Maine,ME,Angus King,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/190px-Angus_King%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,,,,,,no_election_i,no_election_i,no_election_i,no_election_i,no_election_i,no_election_i,no_election_i,no_election_i,no_election_i,
Maine,ME,Susan Collins,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Susan_Collins_official_Senate_photo_%28cropped%29.jpg/190px-Susan_Collins_official_Senate_photo_%28cropped%29.jpg,,Sara Gideon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Sara.Gideon_%281%29.jpg/204px-Sara.Gideon_%281%29.jpg,Susan Collins,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Susan_Collins_official_Senate_photo_%28cropped%29.jpg/190px-Susan_Collins_official_Senate_photo_%28cropped%29.jpg,tossup,tossup,tossup,tossup,tossup,tossup,tossup,likely_d,leans_d,
Maryland,MD,Ben Cardin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg/190px-Ben_Cardin_official_Senate_portrait_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Maryland,MD,Chris Van Hollen,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg/190px-Chris_Van_Hollen_official_portrait_115th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Massachusetts,MA,Elizabeth Warren,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/190px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Massachusetts,MA,Ed Markey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg/190px-Edward_Markey%2C_official_portrait%2C_114th_Congress_%28cropped%29.jpg,Massachusetts is an incredibly safe senate seat but there's a competitive democratic challenge for incumbent Ed Markey's seat launched by house rep Joe Kennedy,contested,,contested,,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,safe_d,
Michigan,MI,Debbie Stabenow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/190px-Debbie_Stabenow%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Michigan,MI,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/190px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,,Gary Peters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg/190px-Gary_Peters_official_photo_115th_congress_%28cropped%29.jpg,John James,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/John_James_3_%281%29.png/204px-John_James_3_%281%29.png,leans_d,leans_d,leans_d,leans_d,leans_d,leans_d,tossup,safe_d,likely_d,
Minnesota,MN,Amy Klobuchar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/190px-Amy_Klobuchar%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,,,,,,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,no_election_d,
Minnesota,MN,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/190px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,,Tina Smith,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg/190px-Tina_Smith%2C_official_portrait%2C_116th_congress_%28cropped%29.jpg,Jason Lewis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Jason_Lewis%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg/241px-Jason_Lewis%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg,likely_d,safe_d,safe_d,likely_d,likely_d,likely_d,leans_d,safe_d,likely_d,
Mississippi,MS,Roger Wicker,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Roger_F._Wicker_crop.jpg/190px-Roger_F._Wicker_crop.jpg,,,,,,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,no_election_r,
